Ano;Leilao;Mes;Preço_Biodiesel;Preço_Metanol;Preço_OleoSoja;Dolar
2017;52;jan;2810,81;416;793,380425;3,2
2017;53;mar;2302,38;499;729,667485;3,13
2017;54;mai;2108,2497;409;731,971292;3,21
2017;55;jul;2255,22238;376;749,01285;3,21
2017;56;set;2317,712807;386;782,96369;3,13
2017;57;nov;2334,807357;386;781,97162;3,26
2018;58;jan;2400,06;479;756,221892;3,21
2018;59;mar;2590,8672;496;740,7456;3,28
2018;60;mai;2423,3265;496;706,442024;3,64
2018;61;jul;2630,586;496;670,804665;3,83
2018;62;set;2439,3129;485;650,13654;4,12
2018;63;nov;2814,8519;519;654,490625;3,79
2019;64;jan;2635,331903;442;647,667388;3,74
2019;65;mar;2333,233411;432;651,23884;3,85
2019;66;mai;2286,833203;432;629,721944;4
2019;67;jul;2328,876852;386;632,676108;3,78
2019;68;set;2857,2;342;681,386745;4,12
2019;69;nov;3077,889572;342;708,503325;4,16
2020;70;jan;3011,629838;342;775,68851;4,15
2020;71;mar;3003,061242;396;613,31972;4,88
2020;72;mai;2713,59384;313;590,887915;5,64
2020;73;jul;3514,570553;276;719,625532;5,28
2020;75;set;5022,248898;286;853,136108;5,4
2020;76;nov;5553,166122;379;964,84319;5,42
2021;77;jan;4425,281045;482;989,038675;5,36
2021;78;mar;4708,437794;492;1192,644508;5,65
2021;79;mai;5536,266486;542;1339,882393;5,29
2021;80;jul;5484,609432;542;1252,708835;5,16
2021;81;set;5658,221289;592;1308,826928;5,28
2021;82;nov;5907,297616;692;1397,93686;5,56
