Ano;Leilao;Mes;Preço_Biodiesel;Preço_Metanol;Preço_OleoSoja;Dolar
2017;52;1;2810,81;416;793,380425;3,2
2017;52;2;2810,81;416;765,32689;3,1
2017;53;3;2302,38;499;729,667485;3,13
2017;53;4;2302,38;442;710,21189;3,14
2017;54;5;2108,25;409;731,971292;3,21
2017;54;6;2108,25;386;736,99778;3,3
2017;55;7;2255,22;376;749,01285;3,21
2017;55;8;2255,22;376;759,4847;3,15
2017;56;9;2317,71;386;782,96369;3,13
2017;56;10;2317,71;396;765,271775;3,19
2017;57;11;2334,81;386;781,97162;3,26
2017;57;12;2334,81;412;747,304285;3,29
2018;58;1;2400,06;479;756,221892;3,21
2018;58;2;2400,06;506;745,099685;3,24
2018;59;3;2590,87;496;740,7456;3,28
2018;59;4;2590,87;496;750,280495;3,41
2018;60;5;2423,33;496;706,442024;3,64
2018;60;6;2423,33;496;682,378815;3,77
2018;61;7;2630,59;496;670,804665;3,83
2018;61;8;2630,59;485;654,722108;3,93
2018;62;9;2439,31;485;650,13654;4,12
2018;62;10;2439,31;496;679,67818;3,76
2018;63;11;2814,85;519;654,490625;3,79
2018;63;12;2814,85;469;636,082215;3,88
2019;64;1;2635,03;442;647,667388;3,74
2019;64;2;2635,03;432;679,292375;3,72
2019;65;3;2333,31;432;651,23884;3,85
2019;65;4;2333,31;432;628,64169;3,9
2019;66;5;2287,06;432;629,721944;4
2019;66;6;2287,06;419;628,64169;3,86
2019;67;7;2328,91;386;632,676108;3,78
2019;67;8;2328,91;342;670,804665;4,02
2019;68;9;2856,89;342;681,386745;4,12
2019;68;10;2856,89;342;677,870408;4,09
2019;69;11;3075,97;342;708,503325;4,16
2019;69;12;3075,97;342;740,2311933;4,11
2020;70;1;3012,36;342;775,68851;4,15
2020;70;2;3012,36;396;721,730925;4,34
2020;71;3;3002,23;396;613,31972;4,88
2020;71;4;3002,23;359;591,450088;5,33
2020;72;5;2713,19;313;590,887915;5,64
2020;72;6;2713,19;289;662,04138;5,2
2020;73;7;3512,06;276;719,625532;5,28
2020;73;8;3512,06;276;776,956155;5,46
2020;75;9;5042,68;286;853,136108;5,4
2020;75;10;5042,68;336;889,721445;5,63
2020;76;11;5551,74;379;964,84319;5,42
2020;76;12;5551,74;399;945,99386;5,15
2021;77;1;4425,42;482;989,038675;5,36
2021;77;2;4425,42;492;1047,901495;5,42
2021;78;3;4708,48;492;1192,644508;5,65
2021;78;4;4708,48;519;1269,62914;5,56
2021;79;5;5536,27;542;1339,882393;5,29
2021;79;6;5536,27;542;1217,953316;5,03
2021;80;7;5484,61;542;1252,708835;5,16
2021;80;8;5484,61;542;1323,09069;5,25
2021;81;9;5658,22;592;1308,826928;5,28
2021;81;10;5658,22;609;1384,213225;5,54
2021;82;11;5907,30;692;1397,93686;5,56
2021;82;12;5907,30;642;1327,742396;5,65
