Tabela 1612 - Área plantada, área colhida, quantidade produzida, rendimento médio e valor da produção das lavouras temporárias;;
Produto das lavouras temporárias - Soja (em grão);;
Cód.;Município;Ano x Variável
;;2019
;;Área plantada (Hectares)
1100015;Alta Floresta D'Oeste (RO);450
1100023;Ariquemes (RO);7893
1100031;Cabixi (RO);24630
1100049;Cacoal (RO);1000
1100056;Cerejeiras (RO);35190
1100064;Colorado do Oeste (RO);3250
1100072;Corumbiara (RO);40500
1100080;Costa Marques (RO);-
1100098;Espigão D'Oeste (RO);900
1100106;Guajará-Mirim (RO);-
1100114;Jaru (RO);-
1100122;Ji-Paraná (RO);-
1100130;Machadinho D'Oeste (RO);9300
1100148;Nova Brasilândia D'Oeste (RO);300
1100155;Ouro Preto do Oeste (RO);-
1100189;Pimenta Bueno (RO);568
1100205;Porto Velho (RO);10650
1100254;Presidente Médici (RO);-
1100262;Rio Crespo (RO);21850
1100288;Rolim de Moura (RO);2533
1100296;Santa Luzia D'Oeste (RO);400
1100304;Vilhena (RO);41652
1100320;São Miguel do Guaporé (RO);11253
1100338;Nova Mamoré (RO);300
1100346;Alvorada D'Oeste (RO);370
1100379;Alto Alegre dos Parecis (RO);2981
1100403;Alto Paraíso (RO);24112
1100452;Buritis (RO);-
1100502;Novo Horizonte do Oeste (RO);1500
1100601;Cacaulândia (RO);-
1100700;Campo Novo de Rondônia (RO);174
1100809;Candeias do Jamari (RO);6000
1100908;Castanheiras (RO);2405
1100924;Chupinguaia (RO);33824
1100940;Cujubim (RO);16414
1101005;Governador Jorge Teixeira (RO);-
1101104;Itapuã do Oeste (RO);2793
1101203;Ministro Andreazza (RO);-
1101302;Mirante da Serra (RO);-
1101401;Monte Negro (RO);-
1101435;Nova União (RO);-
1101450;Parecis (RO);1180
1101468;Pimenteiras do Oeste (RO);34352
1101476;Primavera de Rondônia (RO);-
1101484;São Felipe D'Oeste (RO);240
1101492;São Francisco do Guaporé (RO);1200
1101500;Seringueiras (RO);3337
1101559;Teixeirópolis (RO);-
1101609;Theobroma (RO);680
1101708;Urupá (RO);-
1101757;Vale do Anari (RO);370
1101807;Vale do Paraíso (RO);-
1200013;Acrelândia (AC);-
1200054;Assis Brasil (AC);-
1200104;Brasiléia (AC);-
1200138;Bujari (AC);-
1200179;Capixaba (AC);500
1200203;Cruzeiro do Sul (AC);-
1200252;Epitaciolândia (AC);-
1200302;Feijó (AC);-
1200328;Jordão (AC);-
1200336;Mâncio Lima (AC);-
1200344;Manoel Urbano (AC);-
1200351;Marechal Thaumaturgo (AC);-
1200385;Plácido de Castro (AC);520
1200393;Porto Walter (AC);-
1200401;Rio Branco (AC);640
1200427;Rodrigues Alves (AC);-
1200435;Santa Rosa do Purus (AC);-
1200450;Senador Guiomard (AC);-
1200500;Sena Madureira (AC);-
1200609;Tarauacá (AC);-
1200708;Xapuri (AC);-
1200807;Porto Acre (AC);-
1300029;Alvarães (AM);-
1300060;Amaturá (AM);-
1300086;Anamã (AM);-
1300102;Anori (AM);-
1300144;Apuí (AM);-
1300201;Atalaia do Norte (AM);-
1300300;Autazes (AM);-
1300409;Barcelos (AM);-
1300508;Barreirinha (AM);-
1300607;Benjamin Constant (AM);-
1300631;Beruri (AM);-
